ID,SPECIMENID,CBL,CH,CBW,ADM,PDM,Original_Taxon,Clade,Clade1,Clade2,Combined_clade,Higher_level_taxonomy,Data_Source,Reference,Period,Lower_Stage,Upper_Stage,Group,Formation,Member,Max_ma,Min_ma,Mid_ma,Lat,Long,P_lat,P_Lon,Locality
66,JR2,14.54,30,7.57,2.6,2.621722846,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
68,JR22,1.35,2.21,0.85,12,9.756097561,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
69,JR23,2.08,2.9,1.24,12.05,9.411764706,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
72,JR27,3.31,4.98,1.66,5.81,4.95049505,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
74,JR29,2.05,5.2,1.21,14.89,7.777777778,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
76,JR30,4.09,8.77,1.86,9.09,6.711409396,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
77,JR31,3.08,4.82,1.54,9.09,6.52173913,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
79,JR34,1.53,3.12,0.9,0,0,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
80,JR35,1.95,3.27,1.07,9.09,7.079646018,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
81,JR37,0.61,0.87,0.35,18.75,17.4,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
82,JR38,1.77,4.74,1.03,8.33,7.368421053,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
84,JR4,8.9,19,3.9,6.44,4.849421189,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
85,JR40,1.31,1.78,0.65,16.67,11.42857143,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
92,K14,0.97,2.04,0.57,0,12.5,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
93,K15,0.91,1.8,0.48,0,15.09433962,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
94,K16,0.85,1.5,0.65,0,13.51351351,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
95,K170,1.53,2.86,0.83,0,9.722222222,Kirtlington,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Bathonian,Forest Marble,Discus zone,165.5,165.5,165.5,51.87618385,-1.282845535,29.07,19.21,Kirtlington
98,GCM_10-37,2.93,4.86,1.55,13.64,8.333333333,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
101,GCM_100-14,2.44,3.79,1.2,0,8.620689655,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
102,GCM_100-21,1.6,2.16,0.9,0,8.928571429,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
103,GCM_100-64,2.13,3.07,0.91,8.82,7.619047619,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
104,GCM_100-9,1.91,3.64,1.06,0,7.462686567,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
105,GCM_12-28,2.9,5.45,1.59,8.51,6.956521739,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
106,GCM_120-19,0.97,2.16,0.74,0,0,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
107,GCM_14-27,1.61,2.36,0.91,0,8.571428571,Hornsleasow,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,UnknownSmall,This study,This study,Jurassic,Bathonian,Bathonian,Great Oolite,Chipping Norton Limestone,Zigzag zone,168.1,167.6,167.85,51.98831606,-1.80910607,29.46,19.34,Hornsleasow
