ID,Register,Model,Class,Abelisauridae,Allosauridae,Carcharodontosauridae,Dromaeosaur.Morphotype.1,Dromaeosaur.Morphotype.2,Dromaeosaur.Morphotype.3,Megalosauridae,Metriacanthosauridae,Neotheropoda,Neovenatoridae,Noasauridae,Non_abelisauroid_Ceratosauria,Non_tyrannosaurid_Tyrannosauroidea,Spinosauridae.Morphotype.1,Troodontidae,Tyrannosauridae.Morphotype.1,Tyrannosauridae.Morphotype.2,Tyrannosauridae.pmx.Morphotype.1
WD70,NHMUK PV R 37943,MDA,Troodontidae,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
WD71,NHMUK PV R 37944,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD73,NHMUK PV R 37945,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD74,NHMUK PV R 37946,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD75,NHMUK PV R 37947,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD76,NHMUK PV R 37948,MDA,Troodontidae,0.0000,0.0000,0.0000,0.0000,0.1745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8255,0.0000,0.0000,0.0000
WD77,NHMUK PV R 37949,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD79,NHMUK PV R 37950,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD80,NHMUK PV R 37951,MDA,Dromaeosaur.Morphotype.2,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
WD93,NHMUK PV R 37952,MDA,Troodontidae,0.0000,0.0000,0.0000,0.0000,0.3494,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6506,0.0000,0.0000,0.0000
WD95,NHMUK PV R 37953,MDA,Dromaeosaur.Morphotype.1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
